"Age","SibSp","Parch","Fam","Fare"
51,0,0,0,12.525
22,1,0,1,66.6
55.5,0,0,0,8.05
40.5,0,2,2,14.5
NA,0,0,0,7.3125
51,0,1,1,61.3792
16,0,0,0,7.7333
30,0,0,0,8.05
NA,0,0,0,8.6625
NA,8,2,10,69.55
44,0,1,1,16.1
40,0,0,0,15.75
26,0,0,0,7.775
17,0,0,0,8.6625
1,4,1,5,39.6875
9,0,2,2,20.525
NA,0,1,1,55
45,1,4,5,27.9
NA,0,0,0,25.925
28,0,0,0,56.4958
61,0,0,0,33.5
4,4,1,5,29.125
1,1,1,2,11.1333
21,0,0,0,7.925
56,0,0,0,30.6958
18,1,1,2,7.8542
NA,3,1,4,25.4667
50,0,0,0,28.7125
30,0,0,0,13
NA,8,2,10,69.55
NA,0,0,0,15.05
9,4,2,6,31.3875
1,2,1,3,39
4,0,2,2,22.025
NA,0,0,0,50
NA,1,0,1,15.5
45,0,0,0,26.55
40,1,1,2,15.5
36,0,0,0,7.8958
32,0,0,0,13
19,0,0,0,13
19,1,0,1,7.8542
3,1,1,2,26
44,0,0,0,27.7208
58,0,0,0,146.5208
NA,0,0,0,7.75
42,0,1,1,8.4042
NA,0,0,0,7.75
24,0,0,0,13
28,0,0,0,9.5
NA,8,2,10,69.55
34,0,0,0,6.4958
45.5,0,0,0,7.225
18,0,0,0,8.05
2,0,1,1,10.4625
32,1,0,1,15.85
26,0,0,0,18.7875
16,0,0,0,7.75
40,0,0,0,31
24,0,0,0,7.05
35,0,0,0,21
22,0,0,0,7.25
30,0,0,0,13
NA,1,0,1,7.75
31,1,0,1,113.275
27,0,0,0,7.925
42,1,0,1,27
32,0,0,0,76.2917
30,0,0,0,10.5
16,0,0,0,8.05
27,0,0,0,13
51,0,0,0,8.05
NA,0,0,0,7.8958
38,1,0,1,90
22,0,0,0,9.35
19,0,0,0,10.5
20.5,0,0,0,7.25
18,0,0,0,13
NA,3,1,4,25.4667
35,1,0,1,83.475
29,0,0,0,7.775
59,0,0,0,13.5
5,4,2,6,31.3875
24,0,0,0,10.5
NA,0,0,0,7.55
44,1,0,1,26
8,0,2,2,26.25
19,0,0,0,10.5
33,0,0,0,12.275
NA,1,0,1,14.4542
NA,1,0,1,15.5
29,0,0,0,10.5
22,0,0,0,7.125
30,0,0,0,7.225
44,2,0,2,90
25,0,0,0,7.775
24,0,2,2,14.5
37,1,1,2,52.5542
54,1,0,1,26
NA,0,0,0,7.25
29,1,1,2,10.4625
62,0,0,0,26.55
30,1,0,1,16.1
41,0,2,2,20.2125
29,0,2,2,15.2458
NA,0,0,0,79.2
30,0,0,0,86.5
35,0,0,0,512.3292
50,0,1,1,26
NA,0,0,0,7.75
3,4,2,6,31.3875
52,1,1,2,79.65
NA,0,0,0,7.75
36,0,0,0,10.5
16,4,1,5,39.6875
25,1,0,1,7.775
58,0,1,1,153.4625
35,0,0,0,135.6333
NA,0,0,0,31
41,0,1,1,19.5
37,0,1,1,29.7
NA,0,0,0,7.75
63,1,0,1,77.9583
45,0,0,0,7.75
7,4,1,5,29.125
35,1,1,2,20.25
65,0,0,0,7.75
28,0,0,0,7.8542
16,0,0,0,9.5
19,0,0,0,8.05
NA,0,0,0,26
33,0,0,0,8.6625
30,0,0,0,9.5
22,0,0,0,7.8958
42,0,0,0,13
22,0,0,0,7.75
26,0,0,0,78.85
19,1,0,1,91.0792
36,0,0,0,12.875
24,0,0,0,8.85
24,0,0,0,7.8958
NA,0,0,0,27.7208
23.5,0,0,0,7.2292
2,1,2,3,151.55
NA,0,0,0,30.5
50,0,1,1,247.5208
NA,0,0,0,7.75
NA,2,0,2,23.25
NA,0,0,0,12.35
NA,0,0,0,8.05
0.92,1,2,3,151.55
NA,0,0,0,110.8833
17,1,0,1,108.9
30,1,0,1,24
30,0,0,0,56.9292
24,0,0,0,83.1583
18,2,2,4,262.375
26,1,1,2,26
28,0,0,0,7.8958
43,1,1,2,26.25
26,0,0,0,7.8542
24,1,0,1,26
54,0,0,0,14
31,0,2,2,164.8667
40,1,1,2,134.5
22,0,0,0,7.25
27,0,0,0,7.8958
30,0,0,0,12.35
22,1,1,2,29
NA,8,2,10,69.55
36,0,0,0,135.6333
61,0,0,0,6.2375
36,0,0,0,13
31,1,1,2,20.525
16,0,1,1,57.9792
NA,2,0,2,23.25
45.5,0,0,0,28.5
38,0,1,1,153.4625
16,2,0,2,18
NA,1,0,1,133.65
NA,0,0,0,7.8958
29,1,0,1,66.6
41,0,0,0,134.5
45,0,0,0,8.05
45,0,0,0,35.5
2,1,1,2,26
24,3,2,5,263
28,0,0,0,13
25,0,0,0,13
36,0,0,0,13
24,0,0,0,13
40,0,0,0,13
NA,1,0,1,16.1
3,1,1,2,15.9
42,0,0,0,8.6625
23,0,0,0,9.225
NA,0,0,0,35
15,1,1,2,7.2292
25,1,0,1,17.8
NA,0,0,0,7.225
28,0,0,0,9.5
22,0,1,1,55
38,0,0,0,13
NA,0,0,0,7.8792
NA,0,0,0,7.8792
40,1,4,5,27.9
29,1,0,1,27.7208
45,0,1,1,14.4542
35,0,0,0,7.05
NA,1,0,1,15.5
30,0,0,0,7.25
60,1,0,1,75.25
NA,0,0,0,7.2292
NA,0,0,0,7.75
24,0,0,0,69.3
25,1,0,1,55.4417
18,1,0,1,6.4958
19,0,0,0,8.05
22,0,0,0,135.6333
3,3,1,4,21.075
NA,1,0,1,82.1708
22,0,0,0,7.25
27,0,2,2,211.5
20,0,0,0,4.0125
19,0,0,0,7.775
42,0,0,0,227.525
1,0,2,2,15.7417
32,0,0,0,7.925
35,1,0,1,52
NA,0,0,0,7.8958
18,0,0,0,73.5
1,5,2,7,46.9
36,0,0,0,13
NA,0,0,0,7.7292
17,0,0,0,12
36,1,2,3,120
21,0,0,0,7.7958
28,2,0,2,7.925
23,1,0,1,113.275
24,0,2,2,16.7
22,0,0,0,7.7958
31,0,0,0,7.8542
46,0,0,0,26
23,0,0,0,10.5
28,0,0,0,12.65
39,0,0,0,7.925
26,0,0,0,8.05
21,1,0,1,9.825
28,1,0,1,15.85
20,0,0,0,8.6625
34,1,0,1,21
51,0,0,0,7.75
3,1,1,2,18.75
21,0,0,0,7.775
NA,3,1,4,25.4667
NA,0,0,0,7.8958
NA,0,0,0,6.8583
33,1,0,1,90
44,0,0,0,7.925
NA,0,0,0,8.05
34,1,1,2,32.5
18,0,2,2,13
30,0,0,0,13
10,0,2,2,24.15
NA,0,0,0,7.8958
21,0,0,0,7.7333
29,0,0,0,7.875
28,1,1,2,14.4
18,1,1,2,20.2125
NA,0,0,0,7.25
28,1,0,1,26
19,0,0,0,26
NA,0,0,0,7.75
32,0,0,0,8.05
28,0,0,0,26.55
NA,1,0,1,16.1
42,1,0,1,26
17,0,0,0,7.125
50,1,0,1,55.9
14,1,2,3,120
21,2,2,4,34.375
24,2,3,5,18.75
64,1,4,5,263
31,0,0,0,10.5
45,1,1,2,26.25
20,0,0,0,9.5
25,1,0,1,7.775
28,0,0,0,13
NA,0,0,0,8.1125
4,0,2,2,81.8583
13,0,1,1,19.5
34,0,0,0,26.55
5,2,1,3,19.2583
52,0,0,0,30.5
36,1,2,3,27.75
NA,1,0,1,19.9667
30,0,0,0,27.75
49,1,0,1,89.1042
NA,0,0,0,8.05
29,0,0,0,7.8958
65,0,0,0,26.55
NA,1,0,1,51.8625
50,0,0,0,10.5
NA,0,0,0,7.75
48,0,0,0,26.55
34,0,0,0,8.05
47,0,0,0,38.5
48,0,0,0,13
NA,0,0,0,8.05
38,0,0,0,7.05
56,0,0,0,26.55
NA,0,0,0,7.725
0.75,2,1,3,19.2583
NA,0,0,0,7.25
38,0,0,0,8.6625
33,1,2,3,27.75
23,0,0,0,13.7917
22,0,0,0,9.8375
NA,0,0,0,52
34,1,0,1,21
29,1,0,1,7.0458
22,0,0,0,7.5208
2,0,1,1,12.2875
9,5,2,7,46.9
50,0,0,0,8.05
63,0,0,0,9.5875
25,1,0,1,91.0792
NA,3,1,4,25.4667
35,1,0,1,90
58,0,0,0,29.7
30,0,0,0,8.05
9,1,1,2,15.9
NA,1,0,1,19.9667
21,0,0,0,7.25
55,0,0,0,30.5
71,0,0,0,49.5042
21,0,0,0,8.05
NA,0,0,0,14.4583
54,1,0,1,78.2667
NA,0,0,0,15.1
25,1,2,3,151.55
24,0,0,0,7.7958
17,0,0,0,8.6625
21,0,0,0,7.75
NA,0,0,0,7.6292
37,0,0,0,9.5875
16,0,0,0,86.5
18,1,0,1,108.9
33,0,2,2,26
NA,0,0,0,26.55
28,0,0,0,22.525
26,0,0,0,56.4958
29,0,0,0,7.75
NA,0,0,0,8.05
36,0,0,0,26.2875
54,1,0,1,59.4
24,0,0,0,7.4958
47,0,0,0,34.0208
34,0,0,0,10.5
NA,0,0,0,24.15
36,1,0,1,26
32,0,0,0,7.8958
30,0,0,0,93.5
22,0,0,0,7.8958
NA,0,0,0,7.225
44,0,1,1,57.9792
NA,0,0,0,7.2292
40.5,0,0,0,7.75
50,0,0,0,10.5
NA,0,0,0,221.7792
39,0,0,0,7.925
23,2,1,3,11.5
2,1,1,2,26
NA,0,0,0,7.2292
17,1,1,2,7.2292
NA,0,2,2,22.3583
30,0,0,0,8.6625
7,0,2,2,26.25
45,0,0,0,26.55
30,0,0,0,106.425
NA,0,0,0,14.5
22,0,2,2,49.5
36,0,2,2,71
9,4,2,6,31.275
11,4,2,6,31.275
32,1,0,1,26
50,1,0,1,106.425
64,0,0,0,26
19,1,0,1,26
NA,0,0,0,13.8625
33,1,1,2,20.525
8,1,1,2,36.75
17,0,2,2,110.8833
27,0,0,0,26
NA,0,0,0,7.8292
22,0,0,0,7.225
22,0,0,0,7.775
62,0,0,0,26.55
48,1,0,1,39.6
NA,0,0,0,227.525
39,1,1,2,79.65
36,1,0,1,17.4
NA,0,0,0,7.75
40,0,0,0,7.8958
28,0,0,0,13.5
NA,0,0,0,8.05
NA,0,0,0,8.05
24,2,0,2,24.15
19,0,0,0,7.8958
29,0,4,4,21.075
NA,0,0,0,7.2292
32,0,0,0,7.8542
62,0,0,0,10.5
53,2,0,2,51.4792
36,0,0,0,26.3875
NA,0,0,0,7.75
16,0,0,0,8.05
19,0,0,0,14.5
34,0,0,0,13
39,1,0,1,55.9
NA,1,0,1,14.4583
32,0,0,0,7.925
25,1,1,2,30
39,1,1,2,110.8833
54,0,0,0,26
36,0,0,0,40.125
NA,0,0,0,8.7125
18,0,2,2,79.65
47,0,0,0,15
60,1,1,2,79.2
22,0,0,0,8.05
NA,0,0,0,8.05
35,0,0,0,7.125
52,1,0,1,78.2667
47,0,0,0,7.25
NA,0,2,2,7.75
37,1,0,1,26
36,1,1,2,24.15
NA,0,0,0,33
NA,0,0,0,7.225
49,1,0,1,56.9292
24,2,1,3,27
NA,0,0,0,7.8958
NA,0,0,0,42.4
44,0,0,0,8.05
35,0,0,0,26.55
36,1,0,1,15.55
30,0,0,0,7.8958
27,0,0,0,30.5
22,1,2,3,41.5792
40,0,0,0,153.4625
39,1,5,6,31.275
NA,0,0,0,7.05
NA,1,0,1,15.5
NA,0,0,0,7.75
35,0,0,0,8.05
24,1,2,3,65
34,1,1,2,14.4
26,1,0,1,16.1
4,2,1,3,39
26,0,0,0,10.5
27,1,0,1,14.4542
42,1,0,1,52.5542
20,1,1,2,15.7417
21,0,0,0,7.8542
21,0,0,0,16.1
61,0,0,0,32.3208
57,0,0,0,12.35
21,0,0,0,77.9583
26,0,0,0,7.8958
NA,0,0,0,7.7333
80,0,0,0,30
51,0,0,0,7.0542
32,0,0,0,30.5
9,3,2,5,27.9
28,0,0,0,13
32,0,0,0,7.925
31,1,1,2,26.25
41,0,5,5,39.6875
NA,1,0,1,16.1
20,0,0,0,7.8542
24,0,0,0,69.3
2,3,2,5,27.9
NA,0,0,0,56.4958
0.75,2,1,3,19.2583
48,1,0,1,76.7292
19,0,0,0,7.8958
56,0,0,0,35.5
NA,0,0,0,7.55
23,0,0,0,7.55
NA,0,0,0,7.8958
18,0,1,1,23
21,0,0,0,8.4333
NA,0,0,0,7.8292
18,0,0,0,6.75
24,2,0,2,73.5
NA,0,0,0,7.8958
32,1,1,2,15.5
23,0,0,0,13
58,0,2,2,113.275
50,2,0,2,133.65
40,0,0,0,7.225
47,0,0,0,25.5875
36,0,0,0,7.4958
20,1,0,1,7.925
32,2,0,2,73.5
25,0,0,0,13
NA,0,0,0,7.775
43,0,0,0,8.05
NA,1,0,1,52
40,1,1,2,39
31,1,0,1,52
70,0,0,0,10.5
31,0,0,0,13
18,0,0,0,7.775
24.5,0,0,0,8.05
18,0,0,0,9.8417
43,1,6,7,46.9
36,0,1,1,512.3292
NA,0,0,0,8.1375
27,0,0,0,76.7292
20,0,0,0,9.225
14,5,2,7,46.9
60,1,1,2,39
25,1,2,3,41.5792
14,4,1,5,39.6875
19,0,0,0,10.1708
18,0,0,0,7.7958
15,0,1,1,211.3375
31,1,0,1,57
4,0,1,1,13.4167
NA,0,0,0,56.4958
25,0,0,0,7.225
60,0,0,0,26.55
52,0,0,0,13.5
44,0,0,0,8.05
NA,0,0,0,7.7333
49,1,1,2,110.8833
42,0,0,0,7.65
18,1,0,1,227.525
35,0,0,0,26.2875
18,0,1,1,14.4542
25,0,0,0,7.7417
26,1,0,1,7.8542
39,0,0,0,26
45,0,0,0,13.5
42,0,0,0,26.2875
22,0,0,0,151.55
NA,1,1,2,15.2458
24,0,0,0,49.5042
NA,0,0,0,26.55
48,1,0,1,52
29,0,0,0,9.4833
52,0,0,0,13
19,0,0,0,7.65
38,0,0,0,227.525
27,0,0,0,10.5
NA,0,0,0,15.5
33,0,0,0,7.775
6,0,1,1,33
17,1,0,1,7.0542
34,0,0,0,13
50,0,0,0,13
27,1,0,1,53.1
20,0,0,0,8.6625
30,3,0,3,21
NA,0,0,0,7.7375
25,1,0,1,26
25,1,0,1,7.925
29,0,0,0,211.3375
11,0,0,0,18.7875
23,0,0,0,13
23,0,0,0,13
28.5,0,0,0,16.1
48,1,3,4,34.375
35,0,0,0,512.3292
NA,0,0,0,7.8958
NA,0,0,0,7.8958
NA,0,0,0,30
36,1,0,1,78.85
21,2,2,4,262.375
24,1,0,1,16.1
31,0,0,0,7.925
70,1,1,2,71
16,1,1,2,20.25
30,0,0,0,13
19,1,0,1,53.1
31,0,0,0,7.75
4,1,1,2,23
6,0,1,1,12.475
33,0,0,0,9.5
23,0,0,0,7.8958
48,1,2,3,65
0.67,1,1,2,14.5
28,0,0,0,7.7958
18,0,0,0,11.5
34,0,0,0,8.05
33,0,0,0,86.5
NA,0,0,0,14.5
41,0,0,0,7.125
20,0,0,0,7.2292
36,1,2,3,120
16,0,0,0,7.775
51,1,0,1,77.9583
NA,0,0,0,39.6
30.5,0,0,0,7.75
NA,1,0,1,24.15
32,0,0,0,8.3625
24,0,0,0,9.5
48,0,0,0,7.8542
57,0,0,0,10.5
NA,0,0,0,7.225
54,1,3,4,23
18,0,0,0,7.75
NA,0,0,0,7.75
5,0,0,0,12.475
NA,0,0,0,7.7375
43,0,1,1,211.3375
13,0,0,0,7.2292
17,1,0,1,57
29,0,0,0,30
NA,1,2,3,23.45
25,0,0,0,7.05
25,0,0,0,7.25
18,0,0,0,7.4958
8,4,1,5,29.125
1,1,2,3,20.575
46,0,0,0,79.2
NA,0,0,0,7.75
16,0,0,0,26
NA,8,2,10,69.55
NA,0,0,0,30.6958
25,0,0,0,7.8958
39,0,0,0,13
49,0,0,0,25.9292
31,0,0,0,8.6833
30,0,0,0,7.2292
30,1,1,2,24.15
34,0,0,0,13
31,1,1,2,26.25
11,1,2,3,120
0.42,0,1,1,8.5167
27,0,0,0,6.975
31,0,0,0,7.775
18,0,0,0,7.775
39,0,0,0,13
33,1,0,1,53.1
26,0,0,0,7.8875
39,0,0,0,24.15
35,0,0,0,10.5
6,4,2,6,31.275
30.5,0,0,0,8.05
23,0,0,0,7.925
31,1,1,2,37.0042
43,0,0,0,6.45
10,3,2,5,27.9
52,1,1,2,93.5
27,0,0,0,8.6625
27,0,1,1,12.475
2,4,1,5,39.6875
NA,0,0,0,6.95
NA,0,0,0,56.4958
1,0,2,2,37.0042
NA,0,0,0,7.75
62,0,0,0,80
15,1,0,1,14.4542
0.83,1,1,2,18.75
NA,0,0,0,7.2292
23,0,0,0,7.8542
18,0,0,0,8.3
39,1,1,2,83.1583
21,0,0,0,8.6625
NA,0,0,0,8.05
32,0,0,0,56.4958
NA,0,0,0,29.7
20,0,0,0,7.925
16,0,0,0,10.5
30,0,0,0,31
34.5,0,0,0,6.4375
17,0,0,0,8.6625
42,0,0,0,7.55
NA,8,2,10,69.55
35,0,0,0,7.8958
28,0,1,1,33
NA,1,0,1,89.1042
4,4,2,6,31.275
74,0,0,0,7.775
9,1,1,2,15.2458
16,0,1,1,39.4
44,1,0,1,26
18,0,1,1,9.35
45,1,1,2,164.8667
51,0,0,0,26.55
24,0,3,3,19.2583
NA,0,0,0,7.2292
41,2,0,2,14.1083
21,1,0,1,11.5
48,0,0,0,25.9292
NA,8,2,10,69.55
24,0,0,0,13
42,0,0,0,13
27,1,0,1,13.8583
31,0,0,0,50.4958
NA,0,0,0,9.5
4,1,1,2,11.1333
26,0,0,0,7.8958
47,1,1,2,52.5542
33,0,0,0,5
47,0,0,0,9
28,1,0,1,24
15,0,0,0,7.225
20,0,0,0,9.8458
19,0,0,0,7.8958
NA,0,0,0,7.8958
56,0,1,1,83.1583
25,0,1,1,26
33,0,0,0,7.8958
22,0,0,0,10.5167
28,0,0,0,10.5
25,0,0,0,7.05
39,0,5,5,29.125
27,0,0,0,13
19,0,0,0,30
NA,1,2,3,23.45
26,0,0,0,30
32,0,0,0,7.75
